famous_spot,famous_hotel,price_per_room,category,weather,route,budget_per_day
Kiwai Kaghan,Kiwai Kaghan Resort,4500,Waterfall,Cool,Kaghan Valley to Kiwai Kaghan,9000
Lahore Fort,Lahore Fort Hotel,4000,Fort,Moderate,Lahore to Lahore Fort,8000
Lake Saif-ul-Malook,Lake Saif-ul-Malook Resort,5500,Lake,Cool,Naran to Lake Saif-ul-Malook,11000
Lasbela Beach,Lasbela Beach Resort,5000,Coastal,Hot,Lasbela to Lasbela Beach,10000
Mahodand Waterfall,Mahodand Waterfall Resort,4500,Waterfall,Cool,Kalam to Mahodand Waterfall,9000
Malam Jabba,Malam Jabba Resort,4000,Hill Station,Cool,Mingora to Malam Jabba,8000
Manthoka Waterfall,Manthoka Waterfall Resort,5500,Waterfall,Cool,Khaplu to Manthoka Waterfall,11000
Masjid Wazir Khan,Masjid Wazir Khan Hotel,5000,Mosque,Moderate,Lahore to Masjid Wazir Khan,10000
Matiltan,Matiltan Resort,4500,Valley,Cool,Kalam to Matiltan,9000
Minar-e-Pakistan,Minar-e-Pakistan Hotel,4000,Monument,Moderate,Lahore to Minar-e-Pakistan,8000
Mohatta Palace,Mohatta Palace Hotel,5500,Museum,Moderate,Karachi to Mohatta Palace,11000
Mohenjo-daro,Mohenjo-daro Resort,5000,Valley,Hot,Sukkur to Mohenjo-daro,10000
Moola Chotok,Moola Chotok Resort,4500,Waterfall,Hot,Khuzdar to Moola Chotok,9000
Naltar Lake,Naltar Lake Resort,4000,Lake,Cool,Gilgit to Naltar Lake,8000
Narh Waterfall,Narh Waterfall Resort,5500,Waterfall,Moderate,Mianwali to Narh Waterfall,11000
Neela Sandh Waterfall Kotli Sattian,Neela Sandh Waterfall Resort,5000,Waterfall,Cool,Islamabad to Neela Sandh Waterfall Kotli Sattian,10000
Neelam Valley,Neelam Valley Resort,4500,Valley,Cool,Muzaffarabad to Neelam Valley,9000
Noori de Than Waterfall Jabri,Noori de Than Waterfall Resort,4000,Waterfall,Cool,Kalam to Noori de Than Waterfall Jabri,8000
Pakistan Air Force Museum,Pakistan Air Force Museum Hotel,5500,Museum,Moderate,Karachi to Pakistan Air Force Museum,11000
Pakistan Monument,Pakistan Monument Hotel,5000,Monument,Moderate,Islamabad to Pakistan Monument,10000
Panjpeer Rocks,Panjpeer Rocks Resort,4500,Mountainous,Moderate,Khushab to Panjpeer Rocks,9000
Pattan,Pattan Resort,4000,Mountainous,Cool,Kohistan to Pattan,8000
Pir Sohawa,Pir Sohawa Resort,5500,Resort,Cool,Islamabad to Pir Sohawa,11000
Rama Lake,Rama Lake Resort,5000,Lake,Cool,Astore to Rama Lake,10000
Ratti Galli Waterfall,Ratti Galli Waterfall Resort,4500,Waterfall,Cool,Neelum Valley to Ratti Galli Waterfall,9000
Rawalakot,Rawalakot Resort,4000,Valley,Cool,Muzaffarabad to Rawalakot,8000
Rohtas Fort,Rohtas Fort Resort,5500,Fort,Moderate,Jhelum to Rohtas Fort,11000
Rush Lake,Rush Lake Resort,5000,Lake,Cold,Hunza Valley to Rush Lake,10000
Sajjikot Waterfall Havelian,Sajjikot Waterfall Havelian Resort,4500,Waterfall,Moderate,Abbottabad to Sajjikot Waterfall Havelian,9000
Satpara Lake,Satpara Lake Resort,4000,Lake,Cool,Skardu to Satpara Lake,8000
Shalamar Bagh,Shalamar Bagh Resort,5500,National Park,Moderate,Lahore to Shalamar Bagh,11000
Shangrila Resort,Shangrila Resort,5000,Resort,Cool,Skardu to Shangrila Resort,10000
Shumber Waterfalls,Shumber Waterfalls Resort,4500,Waterfall,Moderate,Islamabad to Shumber Waterfalls,9000
Skardu,Skardu Resort,4000,Valley,Cold,Islamabad to Skardu,8000
Sonmiani Beach,Sonmiani Beach Resort,5500,Coastal,Hot,Karachi to Sonmiani Beach,11000
Taxila Museum,Taxila Museum Hotel,5000,Museum,Moderate,Taxila to Taxila Museum,10000
Thal Desert,Thal Desert Resort,4500,Desert,Hot,Bhakkar to Thal Desert,9000
The Lahore Museum,The Lahore Museum Hotel,4000,Museum,Moderate,Lahore to The Lahore Museum,8000
Umbrella Waterfall Poona,Umbrella Waterfall Poona Resort,5500,Waterfall,Cool,Swat to Umbrella Waterfall Poona,11000
West Bay Beach,West Bay Beach Resort,5000,Coastal,Hot,Gwadar to West Bay Beach,10000
